Attraction Name,Park Name,Timings,Height Restrictions,Location Lat,Location Lng
Expedition Everest - Legend of the Forbidden Mountain,Disney's Animal Kingdom Theme Park,"07:30:00 to 08:00:00, 08:00:00 to 20:00:00",['44-inches-112-cm-or-taller'],28.3584769119,-81.5873781396
Gangplank Falls,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['any-height'],28.3657380338,-81.5305508673
Butterflies - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.3649980475451,-81.5890323591127
Star Wars: Rise of the Resistance,Disney's Hollywood Studios,"08:30:00 to 09:00:00, 09:00:00 to 21:30:00",['40-inches-102-cm-or-taller'],28.354884,-81.560457
Gran Fiesta Tour Starring The Three Caballeros,EPCOT,09:00:00 to 21:00:00,['any-height'],28.371649,-81.547368
Tree of Life,Disney's Animal Kingdom Theme Park,,['any-height'],28.357994,-81.590597
Mickey's PhilharMagic,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.4200304909,-81.5814839853
Disney Fab 50 Character Collection,Magic Kingdom Park,,['any-height'],28.4194549043,-81.5811809
Guardians of the Galaxy: Cosmic Rewind,EPCOT,09:00:00 to 21:00:00,['42-inches-107-cm-or-taller'],28.3749021961781,-81.5478397673417
Crush 'n' Gusher,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['48-inches-122-cm-or-taller'],28.3666932987,-81.5282974765
Avatar Flight of Passage,Disney's Animal Kingdom Theme Park,"07:30:00 to 08:00:00, 08:00:00 to 20:00:00",['44-inches-112-cm-or-taller'],28.355554,-81.592147
Runoff Rapids,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['any-height'],28.351462,-81.576098
Rhinos - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359414,-81.592356
Storm Slides,Disney's Typhoon Lagoon Water Park,10:00:00 to 18:00:00,['any-height'],28.366791097,-81.5304308189
The Twilight Zone Tower of Terror™,Disney's Hollywood Studios,"08:30:00 to 09:00:00, 09:00:00 to 21:30:00",['40-inches-102-cm-or-taller'],28.359553,-81.559772
Migratory Birds - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.355674,-81.590191
Disney Springs Art Walk: A Canvas of Expression,Disney Springs,,,28.369968,-81.517103
Millennium Falcon: Smugglers Run,Disney's Hollywood Studios,"08:30:00 to 09:00:00, 09:00:00 to 21:30:00",['38-inches-97-cm-or-taller'],28.353889,-81.561689
Coca-Cola Polar Bear Photo Op Experience,Disney Springs,,['any-height'],28.369329,-81.519149
The Hall of Presidents,Magic Kingdom Park,08:00:00 to 22:00:00,['any-height'],28.4194484171,-81.5823248578
Rock 'n' Roller Coaster Starring Aerosmith,Disney's Hollywood Studios,00:00:00 to 23:59:00,['48-inches-122-cm-or-taller'],28.359712,-81.56059
Buzz Lightyear's Space Ranger Spin,Magic Kingdom Park,"07:30:00 to 08:00:00, 08:00:00 to 23:00:00",['any-height'],28.4182868839,-81.5794086456
Downhill Double Dipper,Disney's Blizzard Beach Water Park,00:00:00 to 23:59:00,['48-inches-122-cm-or-taller'],28.351215713,-81.5756836496
African Elephants - Disney Animals,Disney's Animal Kingdom Theme Park,,['any-height'],28.359414,-81.592318
Marketplace Train Express,Disney Springs,10:00:00 to 23:00:00,['any-height'],28.372459,-81.51473
Liberty Square Riverboat,Magic Kingdom Park,11:00:00 to 19:00:00,['any-height'],28.4195563399,-81.5827982677
