Activity Name,Activity Type,Park ID,Park Name,Timings,Height Restrictions,URL,Location Lat,Location Lng
Finding Nemo: The Big Blue... and Beyond!,Entertainment,80007823,Disney's Animal Kingdom Theme Park,"11:00:00 to 11:00:00, 12:00:00 to 12:00:00, 13:00:00 to 13:00:00, 14:30:00 to 14:30:00, 15:30:00 to 15:30:00, 16:30:00 to 16:30:00",,https://disneyworld.disney.go.com/entertainment/animal-kingdom/finding-nemo-big-blue-and-beyond/,28.357401,-81.587455
JAMMitors,Entertainment,80007838,EPCOT,"09:30:00 to 09:30:00, 10:30:00 to 10:30:00, 11:30:00 to 11:30:00, 12:55:00 to 12:55:00, 13:55:00 to 13:55:00, 14:55:00 to 14:55:00",,https://disneyworld.disney.go.com/entertainment/epcot/jammitors/,28.373863,-81.549329
Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,Entertainment,80007944,Magic Kingdom Park,09:00:00 to 21:00:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-princess-fairytale-hall/,28.4200458,-81.580917
Green Army Drum Corps,Entertainment,80007998,Disney's Hollywood Studios,"10:00:00 to 10:00:00, 11:00:00 to 11:00:00, 12:00:00 to 12:00:00, 14:00:00 to 14:00:00, 15:00:00 to 15:00:00, 16:00:00 to 16:00:00",,https://disneyworld.disney.go.com/entertainment/hollywood-studios/green-army-drum-corps/,28.355815,-81.562344
Meet Beloved Disney Pals at Disney and Pixar Short Film Festival,Entertainment,80007838,EPCOT,"10:00:00 to 14:00:00, 15:00:00 to 17:15:00",any-height,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-mickey-minnie-mouse/,28.37263,-81.55115
Disney Springs Kids Club,Entertainment,10460,Disney Springs,,,https://disneyworld.disney.go.com/entertainment/disney-springs/disney-springs-kids-club/,28.37161,-81.518211
Beauty and the Beast – Live on Stage,Entertainment,80007998,Disney's Hollywood Studios,"11:00:00 to 11:00:00, 13:00:00 to 13:00:00, 14:00:00 to 14:00:00, 16:00:00 to 16:00:00, 17:00:00 to 17:00:00",,https://disneyworld.disney.go.com/entertainment/hollywood-studios/beauty-and-the-beast-live-on-stage/,28.3589163,-81.559599
Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,Entertainment,80007944,Magic Kingdom Park,10:00:00 to 19:00:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-minnie-daisy/,28.421282,-81.578932
Meet Characters from Aladdin in Adventureland,Entertainment,80007944,Magic Kingdom Park,"10:40:00 to 10:40:00, 11:55:00 to 11:55:00, 13:55:00 to 13:55:00, 15:00:00 to 15:00:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-aladdin/,28.418658,-81.583513
Meet Disney Stars at Red Carpet Dreams,Entertainment,80007998,Disney's Hollywood Studios,09:00:00 to 20:00:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-mickey-minnie-red-carpet/,28.356068,-81.559479
